Incident Id,Issue Type,RCA,Steps to Resolve,Tags,Positive_Counter,Negative_Counter
20175,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20176,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20177,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20178,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20179,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20180,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20181,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20182,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20183,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20184,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20185,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20186,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20187,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20188,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20189,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20190,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20191,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20192,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20193,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20194,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20195,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20196,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20197,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20198,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20199,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20200,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20201,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20202,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20203,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20204,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20205,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20206,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20207,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20208,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20209,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20210,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20211,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20212,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20213,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20214,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20215,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20216,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20217,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20218,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20219,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20220,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20221,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20222,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20223,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20224,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20225,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20226,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20227,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20228,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20229,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20230,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20231,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20232,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20233,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20234,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20235,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20236,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20237,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20238,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20239,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20240,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20241,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20242,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20243,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20244,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20245,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20246,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20247,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20248,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20249,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20250,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20251,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20252,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20253,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20254,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20255,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20256,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20257,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20258,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20259,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20260,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20261,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20262,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20263,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20264,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20265,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20266,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20267,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20268,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20269,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20270,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20271,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20272,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20273,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20274,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20275,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20276,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20277,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20278,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20279,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20280,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20281,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20282,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20283,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20284,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20285,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20286,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20287,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20288,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20289,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20290,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20291,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20292,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20293,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20294,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20295,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20296,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20297,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20298,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20299,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20300,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20301,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20302,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20303,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20304,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20305,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20306,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20307,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20308,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20309,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20310,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20311,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20312,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20313,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20314,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20315,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20316,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20317,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20318,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20319,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20320,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20321,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20322,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20323,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20324,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20325,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20326,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20327,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20328,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20329,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20330,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20331,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20332,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20333,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20334,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20335,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20336,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20337,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20338,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20339,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20340,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20341,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20342,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20343,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20344,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20345,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20346,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20347,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20348,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20349,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20350,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20351,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20352,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20353,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20354,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20355,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20356,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20357,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20358,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20359,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20360,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20361,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20362,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20363,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20364,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20365,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20366,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20367,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20368,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20369,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20370,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20371,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20372,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20373,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20374,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20375,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20376,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20377,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20378,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20379,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20380,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20381,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20382,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20383,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20384,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20385,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20386,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20387,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20388,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20389,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20390,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20391,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20392,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20393,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20394,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20395,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20396,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20397,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20398,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20399,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20400,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20401,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20402,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20403,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20404,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20405,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20406,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20407,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20408,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20409,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20410,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20411,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20412,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20413,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20414,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20415,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20416,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20417,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20418,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20419,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20420,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20421,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20422,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20423,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20424,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20425,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20426,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20427,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20428,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20429,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20430,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20431,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20432,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20433,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20434,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20435,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20436,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20437,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20438,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20439,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20440,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
