Summary,Description,Custom field (Root Cause),Comment,Issue Type,Status,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Watchers,Custom field (Approvers),Custom field (Approvers)Id,Custom field (Epic Link),Epic Link Summary,Sprint,Parent,Parent summary
Malfunctioning Cooling System,System overheats despite functioning fans.,Blocked air vents or faulty cooling solutions.,Steps to Resolve: Clean vents and fans. Replace cooling components if needed.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Screen Resolution Not Supported,"Monitor displays a ""resolution not supported"" message.",Incorrect display settings or cable issues.,Steps to Resolve: Adjust resolution settings in the OS. Test with a different cable.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Failure to Boot from USB,System does not boot from USB devices.,Incorrect BIOS settings or faulty USB drive.,Steps to Resolve: Adjust boot order in BIOS. Test with a different USB drive.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
System Stalling,System freezes intermittently.,Overheating or insufficient resources.,Steps to Resolve: Monitor temperatures. Close background applications.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Webcam Quality Issues,Webcam image quality is poor.,Low-quality hardware or lighting conditions.,Steps to Resolve: Improve lighting. Consider upgrading the webcam.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Hard Drive SMART Errors,SMART errors indicate potential drive failure.,Wear and tear or bad sectors.,Steps to Resolve: Backup data immediately. Replace the hard drive.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Unresponsive BIOS,BIOS interface is unresponsive.,Firmware corruption or hardware issues.,Steps to Resolve: Reset BIOS settings. Reflash BIOS if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Faulty Circuit Board,Circuit board shows signs of damage.,Physical damage or component failure.,Steps to Resolve: Inspect for visible damage. Replace if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Random Reboots,System restarts without warning.,Power supply issues or overheating.,Steps to Resolve: Test power supply. Check for dust in fans.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Excessive Power Consumption,System draws more power than expected.,Faulty components or misconfigurations.,Steps to Resolve: Check for faulty hardware. Optimize power settings.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Inadequate Storage Space,System runs out of storage space quickly.,Too many files or applications installed.,Steps to Resolve: Uninstall unused applications. Clean up files.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Microphone Not Working,Microphone does not capture sound.,Driver issues or hardware failure.,Steps to Resolve: Check connections. Update audio drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Wi-Fi Signal Drops,Wireless connection drops frequently.,Interference or weak signal.,Steps to Resolve: Change router location. Update firmware.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Audio Jack Malfunction,Audio jack does not recognize headphones.,Physical damage or driver issues.,Steps to Resolve: Inspect the jack. Update audio drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Non-Responsive Power Button,Power button fails to turn on the system.,Faulty switch or motherboard issues.,Steps to Resolve: Test with another switch. Replace the motherboard if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Device Overheating,Components become excessively hot.,Insufficient cooling or high ambient temperature.,Steps to Resolve: Improve ventilation. Use cooling pads or fans.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Graphics Card Driver Conflicts,Driver conflicts cause display issues.,Incompatible or outdated drivers.,Steps to Resolve: Uninstall old drivers. Install the latest drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
System Clock Drift,System clock does not keep accurate time,CMOS battery failure or software issues.,Steps to Resolve: Replace the CMOS battery. Synchronize time settings.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Inconsistent Performance Across Applications,Performance varies widely between applications.,Resource allocation issues or conflicts.,Steps to Resolve: Monitor resource usage. Close unnecessary applications.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
External Storage Drive Not Working,External storage drive fails to connect.,Faulty USB ports or drive failure.,Steps to Resolve: Test with another computer. Replace the drive if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Screen Resolution Scaling Issues,Applications appear blurry or pixelated.,Incorrect scaling settings in Windows.,Steps to Resolve: Adjust display scaling settings in the OS.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
CPU Usage Spiking,CPU usage hits 100% unexpectedly.,Background processes or malware.,Steps to Resolve: Check task manager for resource hogs. Run malware scans.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Display Artifacts,Strange lines or colors appear on the screen.,GPU overheating or driver issues.,Steps to Resolve: Clean the GPU. Update drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Power Surge Damage,Hardware fails due to power surges.,Lack of surge protection.,Steps to Resolve: Use surge protectors. Inspect hardware for damage.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Wi-Fi Adapter Not Detected,Wi-Fi adapter does not show in device manager.,Driver issues or hardware failure.,Steps to Resolve: Update drivers. Replace the adapter if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Battery Calibration Issues,Laptop battery displays incorrect charge levels.,Calibration drift over time.,Steps to Resolve: Fully charge and discharge the battery to recalibrate.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Software Crashes on Startup,Applications crash immediately upon opening.,Corrupted installation or conflicts.,Steps to Resolve: Reinstall the application. Check for updates.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Faulty RAM Slots,RAM fails to work in certain slots.,Damaged motherboard or slots.,Steps to Resolve: Test RAM in different slots. Replace motherboard if needed.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Graphics Card Not Detected,System fails to recognize the graphics card.,Improper installation or failed GPU.,Steps to Resolve: Reseat the graphics card. Test in another system.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Corrupted System Files,OS experiences instability due to corrupted files.,Improper shutdowns or malware.,Steps to Resolve: Run system file checker. Repair or reinstall the OS.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Monitor Flickering on Certain Inputs,Flickering occurs only on specific input sources.,Faulty cables or input source issues.,Steps to Resolve: Replace cables. Test with other input sources.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Random Artifacting in Games,Visual glitches appear during gameplay.,Overheating or driver issues.,Steps to Resolve: Clean GPU. Update drivers. Monitor temperatures.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Computer Fails to Resume from Sleep,System does not wake from sleep mode.,Driver issues or power settings.,Steps to Resolve: Update drivers. Adjust power settings.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Unstable System Clock,System clock changes without user input.,CMOS battery failure or software issues.,Steps to Resolve: Replace the CMOS battery. Synchronize settings.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Failed System Restore,System restore fails to complete.,Corrupted restore points or disk issues.,Steps to Resolve: Check disk for errors. Create a new restore point.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Monitor Connection Issues,Monitor loses connection intermittently.,Cable issues or graphics card problems.,Steps to Resolve: Check and replace cables. Test with another GPU.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Display Brightness Issues,Monitor brightness is inconsistent.,Software settings or hardware issues.,Steps to Resolve: Adjust settings. Test with different monitors.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Device Driver Rollback Failure,Unable to roll back to a previous driver version.,Corrupted driver installations.,Steps to Resolve: Uninstall and reinstall drivers manually.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
External Monitor Flickering,Flickering occurs on external monitors.,Loose connections or incorrect settings.,Steps to Resolve: Check connections. Adjust display settings.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Mouse Lag or Delay,Mouse response is delayed.,Driver issues or hardware conflicts.,Steps to Resolve: Update mouse drivers. Test with another mouse.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
System Fails to Post,System does not complete POST.,Power supply issues or hardware failures.,Steps to Resolve: Check power supply connections. Test components.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Faulty Power Connection,Power connection fails intermittently.,Loose connections or damaged power cable.,Steps to Resolve: Inspect and replace cables if needed.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Non-Responsive BIOS Settings,BIOS settings do not save or apply.,CMOS battery failure.,Steps to Resolve: Replace the CMOS battery.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Physical Damage to Hardware ,Visible damage to hardware components. ,Accidental drops or impacts. ,  Steps to Resolve: Inspect for damage. Replace affected components.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,,,,,,,,
